Date,Open,High,Low,Close,Volume,Average,Barcount
2015-02-27,115.11,117.07,114.29,116.16,23940800.0,115.723,108383
2015-03-06,116.5,116.64,111.7,111.86,28999700.0,114.631,128139
2015-03-13,112.42,112.62,110.16,110.88,25873400.0,111.225,116701
2015-03-20,111.09,114.0,109.77,113.57,33562800.0,111.747,155918
2015-03-27,113.7,115.84,113.48,115.06,17608500.0,114.796,91601
2015-04-02,113.88,115.99,113.4,115.28,16699200.0,114.685,82684
2015-04-10,117.29,117.47,114.48,115.97,19172500.0,115.837,99334
2015-04-17,115.35,115.79,114.39,115.6,13798500.0,115.094,72014
2015-04-24,114.82,115.56,112.77,113.05,19070300.0,114.082,93375
2015-05-01,113.87,116.62,112.28,113.08,31409700.0,114.707,141878
2015-05-08,114.18,115.11,113.32,113.97,21810500.0,114.014,103320
2015-05-15,114.09,117.75,113.08,117.53,23170100.0,116.192,112310
2015-05-22,117.78,117.88,115.32,115.6,14712300.0,116.231,72722
2015-05-29,113.84,114.48,113.21,114.1,14010600.0,113.946,71773
2015-06-05,115.02,115.5,111.56,112.24,24005825.0,113.552,121213
2015-06-12,112.39,114.14,112.13,113.23,16894044.0,113.194,87243
2015-06-19,113.28,115.61,112.63,115.12,23912712.0,114.194,117470
2015-06-26,113.79,113.94,112.13,112.56,16056015.0,112.903,77619
2015-07-02,112.81,113.23,111.41,111.76,18817104.0,112.346,95521
2015-07-10,111.7,112.58,110.05,111.49,23524013.0,111.253,120667
2015-07-17,110.43,111.14,108.4,108.65,28267996.0,109.544,137962
2015-07-24,106.6,106.65,103.43,105.35,43600928.0,105.27,206623
2015-07-31,104.94,105.75,103.86,104.93,26976574.0,104.908,130874
2015-08-07,104.59,105.38,103.78,104.65,17922031.0,104.458,85738
2015-08-14,105.03,107.91,104.91,106.85,25417667.0,106.824,118795
2015-08-21,107.37,111.33,106.31,111.13,35835345.0,109.405,162463
2015-08-28,111.54,112.12,107.08,108.7,48422035.0,109.2,214916
2015-09-04,108.19,109.77,107.07,107.49,21100850.0,108.458,97253
2015-09-11,107.6,107.94,105.27,106.16,19401218.0,106.483,91826
2015-09-18,105.85,109.38,105.68,109.21,21384147.0,107.652,109748
